title,artist,composer,genre,massFunction,liturgicalTime,source,hasAudio,duration
"Glória a Deus 1","Ministério de Música Paroquial 1","Tradicional",louvor,gloria,comum,Palco MP3,true,240
"Glória a Deus 2","Ministério de Música Paroquial 2","Tradicional",louvor,gloria,comum,Palco MP3,true,241
"Glória a Deus 3","Ministério de Música Paroquial 3","Tradicional",louvor,gloria,comum,Palco MP3,true,242
"Glória a Deus 4","Ministério de Música Paroquial 4","Tradicional",louvor,gloria,comum,Palco MP3,true,243
"Glória a Deus 5","Ministério de Música Paroquial 5","Tradicional",louvor,gloria,comum,Palco MP3,true,244
"Glória a Deus 6","Ministério de Música Paroquial 6","Tradicional",louvor,gloria,comum,Palco MP3,true,245
"Glória a Deus 7","Ministério de Música Paroquial 7","Tradicional",louvor,gloria,comum,Palco MP3,true,246
"Glória a Deus 8","Ministério de Música Paroquial 8","Tradicional",louvor,gloria,comum,Palco MP3,true,247
"Glória a Deus 9","Ministério de Música Paroquial 9","Tradicional",louvor,gloria,comum,Palco MP3,true,248
"Glória a Deus 10","Ministério de Música Paroquial 10","Tradicional",louvor,gloria,comum,Palco MP3,true,249
"Glória a Deus 11","Ministério de Música Paroquial 11","Tradicional",louvor,gloria,comum,Palco MP3,true,250
"Glória a Deus 12","Ministério de Música Paroquial 12","Tradicional",louvor,gloria,comum,Palco MP3,true,251
"Glória a Deus 13","Ministério de Música Paroquial 13","Tradicional",louvor,gloria,comum,Palco MP3,true,252
"Glória a Deus 14","Ministério de Música Paroquial 14","Tradicional",louvor,gloria,comum,Palco MP3,true,253
"Glória a Deus 15","Ministério de Música Paroquial 15","Tradicional",louvor,gloria,comum,Palco MP3,true,254
"Glória a Deus 16","Ministério de Música Paroquial 16","Tradicional",louvor,gloria,comum,Palco MP3,true,255
"Glória a Deus 17","Ministério de Música Paroquial 17","Tradicional",louvor,gloria,comum,Palco MP3,true,256
"Glória a Deus 18","Ministério de Música Paroquial 18","Tradicional",louvor,gloria,comum,Palco MP3,true,257
"Glória a Deus 19","Ministério de Música Paroquial 19","Tradicional",louvor,gloria,comum,Palco MP3,true,258
"Glória a Deus 20","Ministério de Música Paroquial 20","Tradicional",louvor,gloria,comum,Palco MP3,true,259
"Glória a Deus 21","Ministério de Música Paroquial 21","Tradicional",louvor,gloria,comum,Palco MP3,true,260
"Glória a Deus 22","Ministério de Música Paroquial 22","Tradicional",louvor,gloria,comum,Palco MP3,true,261
"Glória a Deus 23","Ministério de Música Paroquial 23","Tradicional",louvor,gloria,comum,Palco MP3,true,262
"Glória a Deus 24","Ministério de Música Paroquial 24","Tradicional",louvor,gloria,comum,Palco MP3,true,263
"Glória a Deus 25","Ministério de Música Paroquial 25","Tradicional",louvor,gloria,comum,Palco MP3,true,264
"Glória a Deus 26","Ministério de Música Paroquial 26","Tradicional",louvor,gloria,comum,Palco MP3,true,265
"Glória a Deus 27","Ministério de Música Paroquial 27","Tradicional",louvor,gloria,comum,Palco MP3,true,266
"Glória a Deus 28","Ministério de Música Paroquial 28","Tradicional",louvor,gloria,comum,Palco MP3,true,267
